INPUT,MOLECULAR_FORMULA,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID8026513,C8H9NO2,151.165,1.175,3.97192E-06,0.0959401,3.73015,5.50455E-08,8.69699,42.66,1.13582,1.16547E-05,0.0174638
DTXSID6020147,C6H5N3,119.127,1.35,0.057544,0.0263027,3.99331,2.46324E-08,5.03333,49.0345,1.43928,3.34769E-05,0.164771
DTXSID7074668,C6H10O8,210.138,1.671,3.49945E-09,2.37137,4.09194,1.54655E-10,7.9121,119.011,-1.72129,1.65442E-08,4.90398
DTXSID80273977,C6H7KO7,230.213,1.671,3.49945E-09,2.37137,4.09194,1.54655E-10,7.9121,119.011,-2.1557,1.65442E-08,4.90398
DTXSID3051701,C57H110O9,939.498,0.875,9.61612E-20,1.39316E-11,202.769,1.14993E-08,9.64955,29786.1,9.1741,5.17842E-09,6.73012E-07
DTXSID5032523,C7H5NOS,151.18,1.38,0.00809096,0.00016788,3.74206,1.64844E-08,8.36234,73.142,0.803321,1.42925E-05,3.36109E-06
DTXSID5041225,C4H10O4,122.12,1.098,0.00456037,4.50817,3.67673,3.23479E-08,7.39407,7.69357,-0.931388,0.000302153,8.70075
DTXSID3024944,C6H6Br2N2,265.936,1.57,0.0060256,0.0331131,3.55097,1.03948E-05,6.1166,336.71,1.88958,0.0027992,0.0864626
DTXSID3020413,C3H5Br2Cl,236.33,1.947,1.30617,0.00255859,7.25028,0.000292854,4.43205,70.8844,2.9593,0.585391,0.00463227
DTXSID3020415,C2H4Br2,187.862,1.962,14.8594,0.0133045,18.1321,0.000650543,3.65451,51.3224,1.96121,11.2864,0.0210842
DTXSID6020430,C6H4Cl2,147,1.247,1.64437,0.000931108,5.00576,0.00192318,4.36602,363.908,3.43098,1.35737,0.000954393
DTXSID6020438,C2H4Cl2,98.95,1.164,74.131,0.0431519,10.0389,0.00118664,2.79258,33.1086,1.47638,79.244,0.0865463
DTXSID0020448,C3H6Cl2,112.98,1.134,35.3183,0.0194536,7.5986,0.00279293,2.98922,46.7811,1.98521,53.4504,0.0245097
DTXSID6020569,C4H8O,72.107,0.933,78.343,0.753356,4.11696,0.000130252,2.67596,14.3171,1.07032,179.83,1.17322
DTXSID5044570,C2H10I2N2,315.925,0.946,4.52898,7.2277,8.42387,1.74196E-09,6.70193,4.24117,-2.33494,11.9447,16.6177
DTXSID5041229,C10H12O3,180.203,1.144,0.00399945,0.0207491,3.52657,1.67305E-09,7.74522,52.8423,1.60059,7.18815E-05,0.0647449
DTXSID0021206,C3H8O2,76.095,1.01,0.295121,4.31519,4.268,6.05478E-08,6.73741,2.3048,-0.918877,0.127532,13.1545
DTXSID5021207,C3H6O,58.08,0.933,136.773,1.49279,4.10863,0.000137481,2.21308,2.9335,0.0288776,538.154,1.6203
DTXSID4041232,C15H24,204.357,0.817,0.0171002,2.11836E-05,4.93411,0.00567482,6.62489,10667.7,6.27872,0.0814766,1.4742E-06
DTXSID4021925,C3H6O3,90.078,1.055,86.2979,7.37904,7.59839,3.36056E-05,3.11509,9.90403,-0.43069,17.441,1.9575
DTXSID3041667,C27H24O18,636.471,2.187,1.79473E-10,0.00454988,95.1779,2.0113E-11,9.60888,1739.34,0.653842,1.07884E-09,0.0835324
DTXSID3021485,C8H6O4,166.132,1.464,9.7499E-07,0.012388,4.83461,1.00092E-10,7.83947,26.9686,1.65221,2.54969E-06,0.000700382
DTXSID8026773,C4H10O2,90.122,0.991,0.034435,2.29087,4.44245,7.5063E-08,6.88387,9.78622,-0.496699,0.0203156,11.1504
DTXSID1022057,C3H4Cl2,110.97,1.202,41.9759,0.0229087,5.37147,0.0023686,3.10178,46.2635,2.03987,31.1066,0.0179152
DTXSID8041240,C7H12N2O2,156.185,1.132,0.00114815,0.248313,4.29195,2.97929E-05,6.56192,36.1961,0.700281,0.288591,0.139757
DTXSID8035217,C7H12N2O4,188.183,1.391,3.68978E-07,0.188365,4.63873,2.80244E-09,8.18598,22.1186,-0.688627,4.25773E-07,0.160012
DTXSID6025141,C3H8N2O3,120.108,1.23,8.09096E-06,0.555904,3.66938,3.6547E-10,7.91193,28.3929,-1.18638,6.0428E-09,0.000338203
DTXSID3041247,C15H12O2,224.259,1.14,5.00035E-05,0.000245471,9.62056,1.76678E-07,8.17934,143.38,3.05468,5.62093E-06,7.93251E-05
DTXSID3027160,C5H8,68.119,0.74,371.535,0.00977237,4.76483,0.0947127,2.18617,33.533,2.40076,258.104,0.0063408
DTXSID5044605,C22H26N2O2,350.462,1.203,4.58142E-12,5.62341E-08,21.5188,3.59383E-10,9.5624,3283.14,3.90298,3.9993E-09,4.40874E-06
DTXSID6041559,C18H18N2O2,294.354,1.271,4.25598E-11,2.74157E-07,19.8396,2.30334E-10,9.42657,585.985,2.57439,8.2984E-10,1.6259E-06
DTXSID2041250,C20H22N2O2,322.408,1.216,3.74973E-11,2.33346E-07,27.3225,2.18932E-10,9.46997,1792.74,3.45871,1.08269E-09,1.57736E-05
DTXSID2024666,C4H10O2,90.122,0.997,0.0389942,2.07491,3.6792,7.58728E-08,7.07118,11.6409,-0.827341,0.0105539,11.0871
DTXSID2041252,C14H10N2O2,238.246,1.439,4.61318E-10,1.60694E-06,41.0974,1.94422E-10,9.26641,1552.72,2.99782,2.00782E-10,1.38018E-06
DTXSID1020431,C6H4Cl2,147,1.348,0.420727,0.000284446,4.71761,0.00241043,4.44315,447.497,3.44052,1.7406,0.00056314
DTXSID8035423,C12H12,156.228,0.996,0.00526017,5.87489E-05,14.9932,0.00115978,5.78904,4177.52,4.36744,0.0213611,7.27766E-05
DTXSID2040735,C9H16O2,156.225,0.995,0.376704,0.0748169,23.5827,2.49514E-05,5.00253,65.9046,2.14031,0.430463,0.115668
DTXSID8027959,C10H22O3,190.283,0.939,0.0149624,0.305492,3.81641,5.33699E-09,7.71284,228.341,1.77034,0.0800038,0.237373
DTXSID5027809,C7H16O3,148.202,0.947,0.26485,2.0797,4.28863,3.71378E-09,5.68881,20.6442,0.412817,0.239431,3.33686
DTXSID8035001,C11H20O2,184.279,0.924,0.000148594,0.000500035,5.2881,1.21684E-07,8.37944,681.902,3.86,0.000932777,0.000398898
DTXSID5052628,C27H54O6,474.723,0.911,6.28058E-09,3.04089E-06,4.93375,4.09129E-07,11.6842,10091.1,5.76711,3.43203E-08,7.0491E-07
DTXSID2051635,C25H50O2,382.673,0.789,4.23643E-07,1.69434E-07,8.59845,2.19807E-07,10.8706,10170.9,9.17322,1.62787E-06,2.61123E-05
DTXSID9021764,C3H9NO,75.111,0.997,0.857038,3.69828,4.07554,5.70892E-08,6.75727,5.21152,-0.963546,0.467734,13.2976
DTXSID1021740,C4H10O,74.123,0.866,5.29663,0.626614,4.43732,8.83859E-06,4.17812,3.22078,0.879541,6.71678,0.950064
DTXSID8027589,C7H16O2,132.203,0.91,0.363078,0.537032,4.62946,1.55302E-06,5.00086,28.6002,1.01577,0.731522,0.914376
DTXSID9023960,C2H3ClF2,100.49,1.162,1741.81,0.0180302,7.55272,0.0586476,1.29664,37.6537,1.22277,2559.89,0.0137931
DTXSID5020281,C6H4ClNO2,157.55,1.372,0.0297852,0.000866962,4.84081,4.94779E-06,4.32722,507.693,2.39154,0.0220347,0.00131761
