"","ID","chemical","tissue","Type","Source","unit","Species","applicationrate"
"83","RGF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"84","RGF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"85","LCF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"86","LCF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"87","LCF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"88","LCF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"89","LCF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"90","LCF6","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"91","LCF7","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"92","LCF8","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"93","LCF9","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"94","LCF10","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"95","WJB106","X34.DCA",0.0028,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"96","WJB107","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"97","WBJ108","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"98","WBJ109","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"99","WBJ110","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"100","WBJ112","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"101","WBJ206","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"102","WBJ301","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"103","WBJ303","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
